answer_id,question_id,model_name,category,difficulty,expected_risk,student_background,question_text,answer_text,rater_id,accuracy,helpfulness,clarity,actionability,risk_control,error_type,confidence,needs_review_manual,notes
A0011,Q004,Concise_Model,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?","Here is the short answer. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0012,Q004,Overconfident_Model,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?","The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0013,Q005,Balanced_GPT,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Is GPA more important than research for PhD applications? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0014,Q005,Concise_Model,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0015,Q005,Overconfident_Model,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0016,Q006,Balanced_GPT,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I clean a dataset with missing values and duplicates? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0017,Q006,Concise_Model,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0018,Q006,Overconfident_Model,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0019,Q007,Balanced_GPT,career_planning,hard,high,master_student,Should I choose an internship or RA if I want to apply for a PhD?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Should I choose an internship or RA if I want to apply for a PhD? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0020,Q007,Concise_Model,career_planning,hard,high,master_student,Should I choose an internship or RA if I want to apply for a PhD?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0021,Q007,Overconfident_Model,career_planning,hard,high,master_student,Should I choose an internship or RA if I want to apply for a PhD?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0022,Q008,Balanced_GPT,ai_evaluation,medium,medium,beginner,How do I know if an AI answer is hallucinated?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I know if an AI answer is hallucinated? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0023,Q008,Concise_Model,ai_evaluation,medium,medium,beginner,How do I know if an AI answer is hallucinated?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0024,Q008,Overconfident_Model,ai_evaluation,medium,medium,beginner,How do I know if an AI answer is hallucinated?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0025,Q009,Balanced_GPT,machine_learning,medium,medium,undergraduate,How should I prepare for a machine learning course?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I prepare for a machine learning course? — the best approach is to separate the goal from the next action. Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0026,Q009,Concise_Model,machine_learning,medium,medium,undergraduate,How should I prepare for a machine learning course?,"Here is the short answer. Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0027,Q009,Overconfident_Model,machine_learning,medium,medium,undergraduate,How should I prepare for a machine learning course?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0028,Q010,Balanced_GPT,career_planning,medium,medium,undergraduate,Can AI replace data scientists?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Can AI replace data scientists? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0029,Q010,Concise_Model,career_planning,medium,medium,undergraduate,Can AI replace data scientists?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0030,Q010,Overconfident_Model,career_planning,medium,medium,undergraduate,Can AI replace data scientists?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0031,Q011,Balanced_GPT,data_science,easy,low,beginner,What SQL skills are important for data science?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What SQL skills are important for data science? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0032,Q011,Concise_Model,data_science,easy,low,beginner,What SQL skills are important for data science?,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0033,Q011,Overconfident_Model,data_science,easy,low,beginner,What SQL skills are important for data science?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0034,Q012,Balanced_GPT,ai_evaluation,medium,medium,beginner,How do I evaluate an AI chatbot?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I evaluate an AI chatbot? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0035,Q012,Concise_Model,ai_evaluation,medium,medium,beginner,How do I evaluate an AI chatbot?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0036,Q012,Overconfident_Model,ai_evaluation,medium,medium,beginner,How do I evaluate an AI chatbot?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0037,Q013,Balanced_GPT,career_planning,hard,high,undergraduate,Should I trust AI career advice?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Should I trust AI career advice? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0038,Q013,Concise_Model,career_planning,hard,high,undergraduate,Should I trust AI career advice?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0039,Q013,Overconfident_Model,career_planning,hard,high,undergraduate,Should I trust AI career advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0040,Q014,Balanced_GPT,data_science,easy,low,beginner,How can I make a data visualization dashboard?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I make a data visualization dashboard? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0041,Q014,Concise_Model,data_science,easy,low,beginner,How can I make a data visualization dashboard?,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0042,Q014,Overconfident_Model,data_science,easy,low,beginner,How can I make a data visualization dashboard?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0043,Q015,Balanced_GPT,phd_planning,hard,high,master_student,"How do I choose between HCI, data science, and CS research directions?","A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I choose between HCI, data science, and CS research directions? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0044,Q015,Concise_Model,phd_planning,hard,high,master_student,"How do I choose between HCI, data science, and CS research directions?","Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0045,Q015,Overconfident_Model,phd_planning,hard,high,master_student,"How do I choose between HCI, data science, and CS research directions?","The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0046,Q016,Balanced_GPT,research_planning,medium,medium,master_student,What should I do this summer to prepare for an AI evaluation research project?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should I do this summer to prepare for an AI evaluation research project? — the best approach is to separate the goal from the next action. Turn a broad topic into a specific research question, method, dataset, and contribution claim. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0047,Q016,Concise_Model,research_planning,medium,medium,master_student,What should I do this summer to prepare for an AI evaluation research project?,"Here is the short answer. Turn a broad topic into a specific research question, method, dataset, and contribution claim. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0048,Q016,Overconfident_Model,research_planning,medium,medium,master_student,What should I do this summer to prepare for an AI evaluation research project?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Turn a broad topic into a specific research question, method, dataset, and contribution claim. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0049,Q017,Balanced_GPT,career_planning,medium,medium,undergraduate,How can I turn a class project into a portfolio project?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I turn a class project into a portfolio project? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0050,Q017,Concise_Model,career_planning,medium,medium,undergraduate,How can I turn a class project into a portfolio project?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0051,Q017,Overconfident_Model,career_planning,medium,medium,undergraduate,How can I turn a class project into a portfolio project?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0052,Q018,Balanced_GPT,research_planning,hard,high,master_student,What is a good research question for human-centered AI?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is a good research question for human-centered AI? — the best approach is to separate the goal from the next action. Turn a broad topic into a specific research question, method, dataset, and contribution claim. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0053,Q018,Concise_Model,research_planning,hard,high,master_student,What is a good research question for human-centered AI?,"Here is the short answer. Turn a broad topic into a specific research question, method, dataset, and contribution claim. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0054,Q018,Overconfident_Model,research_planning,hard,high,master_student,What is a good research question for human-centered AI?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Turn a broad topic into a specific research question, method, dataset, and contribution claim. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0055,Q019,Balanced_GPT,research_methods,medium,low,beginner,How should I read an HCI research paper?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I read an HCI research paper? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0056,Q019,Concise_Model,research_methods,medium,low,beginner,How should I read an HCI research paper?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0057,Q019,Overconfident_Model,research_methods,medium,low,beginner,How should I read an HCI research paper?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0058,Q020,Balanced_GPT,research_methods,hard,medium,master_student,How do I design an interview study about students using ChatGPT?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I design an interview study about students using ChatGPT? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0059,Q020,Concise_Model,research_methods,hard,medium,master_student,How do I design an interview study about students using ChatGPT?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0060,Q020,Overconfident_Model,research_methods,hard,medium,master_student,How do I design an interview study about students using ChatGPT?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0061,Q021,Balanced_GPT,research_methods,medium,medium,undergraduate,How many users do I need for a usability test?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How many users do I need for a usability test? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0062,Q021,Concise_Model,research_methods,medium,medium,undergraduate,How many users do I need for a usability test?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0063,Q021,Overconfident_Model,research_methods,medium,medium,undergraduate,How many users do I need for a usability test?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0064,Q022,Balanced_GPT,ai_evaluation,hard,high,master_student,How do I avoid bias when evaluating AI advice?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I avoid bias when evaluating AI advice? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0065,Q022,Concise_Model,ai_evaluation,hard,high,master_student,How do I avoid bias when evaluating AI advice?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0066,Q022,Overconfident_Model,ai_evaluation,hard,high,master_student,How do I avoid bias when evaluating AI advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0067,Q023,Balanced_GPT,responsible_ai,hard,high,master_student,What should I include in an AI safety rubric?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should I include in an AI safety rubric? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0068,Q023,Concise_Model,responsible_ai,hard,high,master_student,What should I include in an AI safety rubric?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0069,Q023,Overconfident_Model,responsible_ai,hard,high,master_student,What should I include in an AI safety rubric?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0070,Q024,Balanced_GPT,responsible_ai,medium,medium,cs_student,How do I explain model limitations in a student-facing app?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I explain model limitations in a student-facing app? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0071,Q024,Concise_Model,responsible_ai,medium,medium,cs_student,How do I explain model limitations in a student-facing app?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0072,Q024,Overconfident_Model,responsible_ai,medium,medium,cs_student,How do I explain model limitations in a student-facing app?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0073,Q025,Balanced_GPT,ai_evaluation,hard,high,master_student,How can I measure whether an AI tutor improves learning?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I measure whether an AI tutor improves learning? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0074,Q025,Concise_Model,ai_evaluation,hard,high,master_student,How can I measure whether an AI tutor improves learning?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0075,Q025,Overconfident_Model,ai_evaluation,hard,high,master_student,How can I measure whether an AI tutor improves learning?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0076,Q026,Balanced_GPT,ai_evaluation,easy,low,beginner,What is the difference between accuracy and helpfulness in AI evaluation?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is the difference between accuracy and helpfulness in AI evaluation? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0077,Q026,Concise_Model,ai_evaluation,easy,low,beginner,What is the difference between accuracy and helpfulness in AI evaluation?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0078,Q026,Overconfident_Model,ai_evaluation,easy,low,beginner,What is the difference between accuracy and helpfulness in AI evaluation?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0079,Q027,Balanced_GPT,product_strategy,medium,medium,undergraduate,How should I prioritize features for an AI study assistant MVP?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I prioritize features for an AI study assistant MVP? — the best approach is to separate the goal from the next action. Define the user, pain point, MVP scope, success metric, and next product iteration. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0080,Q027,Concise_Model,product_strategy,medium,medium,undergraduate,How should I prioritize features for an AI study assistant MVP?,"Here is the short answer. Define the user, pain point, MVP scope, success metric, and next product iteration. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0081,Q027,Overconfident_Model,product_strategy,medium,medium,undergraduate,How should I prioritize features for an AI study assistant MVP?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define the user, pain point, MVP scope, success metric, and next product iteration. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0082,Q028,Balanced_GPT,data_visualization,medium,medium,cs_student,What metrics should I show in a dashboard for AI answer quality?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What metrics should I show in a dashboard for AI answer quality? — the best approach is to separate the goal from the next action. Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0083,Q028,Concise_Model,data_visualization,medium,medium,cs_student,What metrics should I show in a dashboard for AI answer quality?,"Here is the short answer. Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0084,Q028,Overconfident_Model,data_visualization,medium,medium,cs_student,What metrics should I show in a dashboard for AI answer quality?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0085,Q029,Balanced_GPT,data_visualization,medium,medium,beginner,How do I make dashboard charts less misleading?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I make dashboard charts less misleading? — the best approach is to separate the goal from the next action. Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
