question_id,category,difficulty,expected_risk,student_background,question_text,model_name,answer_text,answer_length,accuracy,helpfulness,clarity,actionability,risk_control,overall_score,error_type,notes,weighted_score,quality_status,needs_review,review_priority,answer_id,rater_id
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — I have one week before my statistics exam. How should I review? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",94,4.5,4.5,4.5,4.0,4.5,4.4,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a medium-risk question.,4.62,pass,False,none,Q002__Balanced_GPT,R2
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — I have one week before my statistics exam. How should I review? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",94,5.0,4.5,4.5,4.5,4.5,4.6,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a medium-risk question.,4.62,pass,False,none,Q002__Balanced_GPT,R3
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Concise_Model,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",36,4.0,3.5,4.5,3.5,4.0,3.9,missing_steps,"Concise_Model is directionally useful but should add concrete steps, examples, or a short checklist.",3.89,review,True,P1,Q002__Concise_Model,R1
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Concise_Model,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",36,4.0,4.0,4.5,3.0,4.0,3.9,missing_steps,"Concise_Model is directionally useful but should add concrete steps, examples, or a short checklist.",3.89,review,True,P1,Q002__Concise_Model,R2
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Concise_Model,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",36,4.5,3.5,4.5,3.5,3.5,3.9,missing_steps,"Concise_Model is directionally useful but should add concrete steps, examples, or a short checklist.",3.89,review,True,P1,Q002__Concise_Model,R3
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",43,4.0,4.0,4.0,4.0,2.5,3.7,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for medium-risk advice.",3.63,review,True,P1,Q002__Overconfident_Model,R1
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",43,3.5,3.5,4.0,3.5,3.0,3.5,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for medium-risk advice.",3.63,review,True,P1,Q002__Overconfident_Model,R2
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",43,4.0,3.5,4.0,3.5,3.0,3.6,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for medium-risk advice.",3.63,review,True,P1,Q002__Overconfident_Model,R3
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Can I apply for a PhD without research experience? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",96,4.5,4.5,4.5,4.0,4.5,4.4,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.42,pass,False,none,Q003__Balanced_GPT,R1
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Can I apply for a PhD without research experience? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",96,4.5,4.5,4.5,4.0,4.5,4.4,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.42,pass,False,none,Q003__Balanced_GPT,R2
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Can I apply for a PhD without research experience? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",96,4.5,4.5,5.0,4.0,4.5,4.5,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.42,pass,False,none,Q003__Balanced_GPT,R3
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Concise_Model,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",38,4.0,3.5,4.5,3.0,3.5,3.7,overconfident,"Concise_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.55,review,True,P0,Q003__Concise_Model,R1
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Concise_Model,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",38,4.0,3.5,4.5,3.0,3.5,3.7,overconfident,"Concise_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.55,review,True,P0,Q003__Concise_Model,R2
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Concise_Model,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",38,4.0,3.5,4.5,3.0,3.0,3.6,overconfident,"Concise_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.55,review,True,P0,Q003__Concise_Model,R3
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",45,3.5,3.5,4.0,3.0,2.5,3.3,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.24,review,True,P0,Q003__Overconfident_Model,R1
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",45,3.5,3.5,4.0,3.0,2.5,3.3,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.24,review,True,P0,Q003__Overconfident_Model,R2
Q003,phd_planning,hard,high,master_student,Can I apply for a PhD without research experience?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",45,3.5,3.5,4.5,3.5,2.5,3.5,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.24,review,True,P0,Q003__Overconfident_Model,R3
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — If I use AI to write code, do I still need to learn pandas? — the best approach is to separate the goal from the next action. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",100,4.5,4.5,4.5,4.5,5.0,4.6,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a medium-risk question.,4.56,pass,False,none,Q004__Balanced_GPT,R1
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — If I use AI to write code, do I still need to learn pandas? — the best approach is to separate the goal from the next action. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",100,4.5,4.5,5.0,4.0,5.0,4.6,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a medium-risk question.,4.56,pass,False,none,Q004__Balanced_GPT,R2
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — If I use AI to write code, do I still need to learn pandas? — the best approach is to separate the goal from the next action. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",100,5.0,4.5,4.5,4.5,4.5,4.6,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a medium-risk question.,4.56,pass,False,none,Q004__Balanced_GPT,R3
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Concise_Model,"Here is the short answer. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Start with one small task, finish it, and then decide the next step based on what you learned.",40,4.5,4.0,4.5,3.5,4.0,4.1,missing_steps,"Concise_Model is directionally useful but should add concrete steps, examples, or a short checklist.",3.99,pass,False,none,Q004__Concise_Model,R1
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Concise_Model,"Here is the short answer. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Start with one small task, finish it, and then decide the next step based on what you learned.",40,4.5,4.0,4.5,3.5,4.0,4.1,missing_steps,"Concise_Model is directionally useful but should add concrete steps, examples, or a short checklist.",3.99,pass,False,none,Q004__Concise_Model,R2
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Concise_Model,"Here is the short answer. Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Start with one small task, finish it, and then decide the next step based on what you learned.",40,4.0,3.5,4.5,3.5,4.0,3.9,missing_steps,"Concise_Model is directionally useful but should add concrete steps, examples, or a short checklist.",3.99,pass,False,none,Q004__Concise_Model,R3
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Do this immediately and do not spend too much time comparing alternatives.",47,3.5,3.5,4.0,3.5,3.0,3.5,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for medium-risk advice.",3.58,review,True,P1,Q004__Overconfident_Model,R1
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Do this immediately and do not spend too much time comparing alternatives.",47,3.5,3.5,4.5,3.5,3.0,3.6,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for medium-risk advice.",3.58,review,True,P1,Q004__Overconfident_Model,R2
Q004,ai_learning,medium,medium,cs_student,"If I use AI to write code, do I still need to learn pandas?",Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Use AI as a support tool, but keep enough technical understanding to verify and debug its output. Do this immediately and do not spend too much time comparing alternatives.",47,4.0,3.5,4.0,4.0,2.5,3.6,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for medium-risk advice.",3.58,review,True,P1,Q004__Overconfident_Model,R3
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Is GPA more important than research for PhD applications? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",96,4.5,4.5,5.0,4.0,4.5,4.5,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.33,review,True,P1,Q005__Balanced_GPT,R1
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Is GPA more important than research for PhD applications? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",96,4.5,4.5,4.5,4.0,4.5,4.4,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.33,review,True,P1,Q005__Balanced_GPT,R2
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Is GPA more important than research for PhD applications? — the best approach is to separate the goal from the next action. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",96,4.5,4.5,4.5,4.0,4.5,4.4,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.33,review,True,P1,Q005__Balanced_GPT,R3
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Concise_Model,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",38,4.0,4.0,4.0,3.0,3.0,3.6,overconfident,"Concise_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.56,review,True,P0,Q005__Concise_Model,R1
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Concise_Model,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",38,3.5,3.5,4.5,2.5,3.5,3.5,overconfident,"Concise_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.56,review,True,P0,Q005__Concise_Model,R2
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Concise_Model,"Here is the short answer. Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",38,4.0,3.5,4.5,3.0,3.5,3.7,overconfident,"Concise_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.56,review,True,P0,Q005__Concise_Model,R3
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",45,3.5,3.5,4.5,3.0,2.5,3.4,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.15,review,True,P0,Q005__Overconfident_Model,R1
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",45,3.5,3.5,4.0,3.0,2.5,3.3,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.15,review,True,P0,Q005__Overconfident_Model,R2
Q005,phd_planning,hard,high,master_student,Is GPA more important than research for PhD applications?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Check program expectations, build research evidence, and ask faculty or advisors before making final decisions. Do this immediately and do not spend too much time comparing alternatives.",45,3.5,3.5,4.0,3.5,2.0,3.3,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for high-risk advice.",3.15,review,True,P0,Q005__Overconfident_Model,R3
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I clean a dataset with missing values and duplicates? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",93,5.0,4.5,4.5,5.0,5.0,4.8,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.75,pass,False,none,Q006__Balanced_GPT,R1
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I clean a dataset with missing values and duplicates? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",93,5.0,5.0,4.5,4.5,5.0,4.8,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.75,pass,False,none,Q006__Balanced_GPT,R2
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I clean a dataset with missing values and duplicates? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",93,4.5,4.5,5.0,4.5,5.0,4.7,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.75,pass,False,none,Q006__Balanced_GPT,R3
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Concise_Model,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",36,4.0,3.5,4.5,3.5,4.0,3.9,none,Concise_Model gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.13,pass,False,none,Q006__Concise_Model,R1
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Concise_Model,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",36,4.0,4.0,4.5,3.5,4.0,4.0,none,Concise_Model gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.13,pass,False,none,Q006__Concise_Model,R2
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Concise_Model,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",36,4.5,4.0,5.0,4.0,4.0,4.3,none,Concise_Model gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.13,pass,False,none,Q006__Concise_Model,R3
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",43,4.0,4.0,4.0,4.0,3.0,3.8,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for low-risk advice.",3.88,review,True,P2,Q006__Overconfident_Model,R1
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",43,4.0,4.0,4.0,4.0,3.0,3.8,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for low-risk advice.",3.88,review,True,P2,Q006__Overconfident_Model,R2
Q006,data_science,easy,low,beginner,How can I clean a dataset with missing values and duplicates?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",43,4.0,3.5,4.5,4.0,3.0,3.8,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for low-risk advice.",3.88,review,True,P2,Q006__Overconfident_Model,R3
Q007,career_planning,hard,high,master_student,Should I choose an internship or RA if I want to apply for a PhD?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Should I choose an internship or RA if I want to apply for a PhD? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",99,4.5,4.5,4.5,4.5,4.5,4.5,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.41,pass,False,none,Q007__Balanced_GPT,R1
Q007,career_planning,hard,high,master_student,Should I choose an internship or RA if I want to apply for a PhD?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Should I choose an internship or RA if I want to apply for a PhD? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",99,4.0,4.5,4.5,3.5,4.5,4.2,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a high-risk question.,4.41,pass,False,none,Q007__Balanced_GPT,R2
